nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT01619059,NCT01619059,f7,0.4974,0.4888,0.6873,58.18,5.844e-42,5,-310.2,634.3,660.2,138.9,294,300
NCT00819091,NCT00819091,f8,0.369,0.3498,0.8499,19.22,3.8070000000000004e-20,7,-294.9,607.9,639.1,166.1,230,238
NCT00800683,NCT00800683,f8,0.4374,0.4052,0.8528,13.55,7.201e-13,7,-159.6,337.3,363.1,88.73,122,130
NCT00740051,NCT00740051,f8,0.08668,0.05749,1.161,2.969,0.005396,7,-351.9,721.8,752.6,295.2,219,227
NCT00996658,NCT00996658,f8,0.183,0.1613,1.041,8.448,2.511e-9,7,-392.8,803.6,836,286,264,272
NCT01084005,NCT01084005,f8,0.4292,0.4119,0.5743,24.81,4.161e-25,7,-202.5,423,454.3,76.18,231,239
NCT01087502,NCT01087502,f8,0.5889,0.5762,0.7012,46.45,1.781e-40,7,-246,509.9,541.1,111.6,227,235
NCT01194830,NCT01194830,f8,0.2583,0.2333,1.109,10.35,4.027e-11,7,-324.7,667.4,697.8,255.7,208,216
NCT02182830,NCT02182830,f8,0.2739,0.2414,1.161,8.409,1.045e-8,7,-253,524.1,552,210.1,156,164
NCT02453555,NCT02453555,f8,0.1418,0.1193,0.759,6.301,7.421e-7,7,-310.3,638.6,671.2,153.8,267,275
NCT00763451,NCT00763451,f8,0.1625,0.1429,0.9392,8.291,2.326e-13,11,-647.6,1321,1376,414.6,470,482
NCT00976937,NCT00976937,f8,0.2622,0.245,1.061,15.23,4.843e-17,7,-451.3,920.6,954.2,337.9,300,308
NCT00866658,NCT00866658,f8,0.2689,0.2519,1.082,15.86,9.911e-18,7,-460.4,938.7,972.3,353.8,302,310
NCT01169779,NCT01169779,f8,0.2065,0.1919,0.9107,14.2,2.075e-16,7,-512.9,1044,1079,316.8,382,390
NCT01632163,NCT01632163,f8,0.1214,0.09614,1.07,4.799,4.457e-5,7,-369,755.9,787.6,278,243,251
