tosep,params,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,rhat
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01177813],1.28290518654713,0.3423929665262597,1.6209196681527258,-2.2913782524042903,0.24665969816760344,1.4009613880836667,2.5094260338471948,3.9101752886657803,22.411623316504198,1.1971934628544643
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01183104],2.176313563169637,0.12282217239927842,0.7533440333811551,0.8297155982502797,1.6209330325174587,2.1563064751632237,2.7046236593249735,3.6645032428693107,37.62124439629934,1.1197472132155122
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01189890],2.5004323183104797,0.130012642892942,0.7601768072829703,1.1141936590988775,1.9339809085918787,2.4762868486779146,3.0368784098529753,4.010269892867988,34.186768979571625,1.1294947970192888
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01214239],0.975950099165351,0.3490746686893852,1.659082928712675,-2.678075302642382,-0.09975755856047983,1.0960861601585985,2.2216683641694317,3.659473245663834,22.58913080557262,1.1960098535677572
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01270789],2.029637546435812,0.24170151116086583,1.1475548061671295,-0.5202240077470593,1.3033933067631227,2.133190366238809,2.8970678563676833,3.891195391864023,22.541776580264614,1.1967418889213797
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01294423],2.284712009812581,0.12651108840951394,0.6082185989446899,1.290448609246244,1.8167782094267466,2.2402124369438976,2.6760820664032705,3.6110898874390958,23.113313435272666,1.1918460799057027
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01413204],2.6700133916442153,0.12661962705821067,0.6054267171167685,1.6835705984418858,2.210417601887574,2.6258292968224755,3.0533218545557586,3.999538142640697,22.862362384258315,1.194183396536821
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01422876],1.1981822086592393,0.3466035518250665,1.6704943836891895,-2.4933544462104824,0.1070306619287649,1.3142508369779529,2.46589871462068,3.8690051321134282,23.228652768633197,1.1896340743832259
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01558271],1.3789881998662383,0.3586277315332176,1.7027032936632893,-2.382203728411495,0.2881966385894047,1.501749089186335,2.6668248597723765,4.136258994343816,22.541884176581846,1.19439707661101
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01632007],1.5595966776204058,0.34464495366848863,1.6472221168500858,-2.053929199273309,0.5143320469063296,1.6852115341808194,2.8037067376517024,4.2910387090207,22.843386182487563,1.1908570740722988
