nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,outcome_method,outcome
NCT00838903,NCT00838903,f1,1.384e-01,1.350e-01,1.181e+00,4.076e+01,1.049e-31,4,-1.615e+03,3.242e+03,3.271e+03,1.417e+03,1015,1020,locf,hba1c
NCT00838916,NCT00838916,f1,1.309e-01,1.286e-01,1.006e+00,5.632e+01,1.642e-23,2,-1.069e+03,2.145e+03,2.164e+03,7.572e+02,748,751,locf,hba1c
NCT00839527,NCT00839527,f1,2.420e-01,2.385e-01,9.865e-01,7.023e+01,1.990e-39,3,-9.311e+02,1.872e+03,1.895e+03,6.423e+02,660,664,locf,hba1c
NCT00849017,NCT00849017,f1,1.645e-01,1.560e-01,9.927e-01,1.949e+01,1.466e-11,3,-4.229e+02,8.557e+02,8.743e+02,2.927e+02,297,301,locf,hba1c
NCT00849056,NCT00849056,f1,2.208e-01,2.156e-01,8.755e-01,4.236e+01,6.368e-17,2,-3.869e+02,7.817e+02,7.966e+02,2.292e+02,299,302,locf,hba1c
NCT00976391,NCT00976391,f1,2.154e-01,2.127e-01,9.457e-01,7.866e+01,6.524e-31,2,-7.837e+02,1.575e+03,1.593e+03,5.125e+02,573,576,locf,hba1c
NCT01098539,NCT01098539,f1,1.964e-01,1.932e-01,1.038e+00,5.989e+01,5.368e-24,2,-7.165e+02,1.441e+03,1.458e+03,5.281e+02,490,493,locf,hba1c
NCT01128894,NCT01128894,f1,1.883e-01,1.863e-01,9.317e-01,9.419e+01,1.631e-37,2,-1.097e+03,2.203e+03,2.221e+03,7.049e+02,812,815,locf,hba1c
NCT01733758,NCT01733758,f1,5.725e-01,5.690e-01,5.723e-01,1.624e+02,4.469e-88,4,-4.193e+02,8.506e+02,8.757e+02,1.588e+02,485,490,locf,hba1c
NCT02229227,NCT02229227,f1,1.037e-01,1.015e-01,7.810e-01,4.682e+01,5.753e-20,2,-9.500e+02,1.908e+03,1.927e+03,4.935e+02,809,812,locf,hba1c
