nct_id,nct_id2,models,term,estimate,std.error,outcome_method,outcome
NCT01733758,NCT01733758,b1,age10:arm_f_2_uaa10899,0.294,0.19,bocf,hba1c
NCT01733758,NCT01733758,b1,age10:arm_f_2_uaa10900,0.283,0.181,bocf,hba1c
NCT01733758,NCT01733758,b1,age10:arm_f_2_uaa10901,0.833,0.247,bocf,hba1c
NCT01733758,NCT01733758,b1,sex:age10:arm_f_2_uaa10899,-0.315,0.23,bocf,hba1c
NCT01733758,NCT01733758,b1,sex:age10:arm_f_2_uaa10900,-0.332,0.223,bocf,hba1c
NCT01733758,NCT01733758,b1,sex:age10:arm_f_2_uaa10901,-0.909,0.28,bocf,hba1c
NCT02229227,NCT02229227,b1,(Intercept),7.627,0.254,bocf,hba1c
NCT02229227,NCT02229227,b1,sex,0.523,0.38,bocf,hba1c
NCT02229227,NCT02229227,b1,age10,0.026,0.043,bocf,hba1c
NCT02229227,NCT02229227,b1,arm_f_2_uaa11080,0.381,0.353,bocf,hba1c
NCT02229227,NCT02229227,b1,sex:age10,-0.092,0.065,bocf,hba1c
NCT02229227,NCT02229227,b1,sex:arm_f_2_uaa11080,-0.423,0.55,bocf,hba1c
NCT02229227,NCT02229227,b1,age10:arm_f_2_uaa11080,-0.058,0.06,bocf,hba1c
NCT02229227,NCT02229227,b1,sex:age10:arm_f_2_uaa11080,0.072,0.093,bocf,hba1c
NCT02465515,NCT02465515,b1,(Intercept),11.375,0.298,bocf,hba1c
NCT02465515,NCT02465515,b1,sex,-0.954,0.358,bocf,hba1c
NCT02465515,NCT02465515,b1,age10,-0.4,0.046,bocf,hba1c
NCT02465515,NCT02465515,b1,arm_f_2_uaa11138,-0.214,0.421,bocf,hba1c
NCT02465515,NCT02465515,b1,sex:age10,0.091,0.055,bocf,hba1c
NCT02465515,NCT02465515,b1,sex:arm_f_2_uaa11138,-0.32,0.505,bocf,hba1c
NCT02465515,NCT02465515,b1,age10:arm_f_2_uaa11138,-0.067,0.065,bocf,hba1c
NCT02465515,NCT02465515,b1,sex:age10:arm_f_2_uaa11138,0.07,0.078,bocf,hba1c
NCT00838903,NCT00838903,f1,(Intercept),3.658,0.387,locf,hba1c
NCT00838903,NCT00838903,f1,value_1,0.531,0.045,locf,hba1c
NCT00838903,NCT00838903,f1,arm_f_2_uaa10381,-0.573,0.135,locf,hba1c
NCT00838903,NCT00838903,f1,arm_f_2_uaa10382,-0.321,0.134,locf,hba1c
NCT00838903,NCT00838903,f1,arm_f_2_uaa10384,-0.299,0.135,locf,hba1c
NCT00838916,NCT00838916,f1,(Intercept),3.838,0.351,locf,hba1c
NCT00838916,NCT00838916,f1,value_1,0.436,0.041,locf,hba1c
NCT00838916,NCT00838916,f1,arm_f_2_uaa10386,0.08,0.078,locf,hba1c
NCT00839527,NCT00839527,f1,(Intercept),3.427,0.383,locf,hba1c
NCT00839527,NCT00839527,f1,value_1,0.578,0.045,locf,hba1c
NCT00839527,NCT00839527,f1,arm_f_2_uaa10389,-0.629,0.11,locf,hba1c
NCT00839527,NCT00839527,f1,arm_f_2_uaa10390,-0.755,0.109,locf,hba1c
NCT00849017,NCT00849017,f1,(Intercept),3.699,0.531,locf,hba1c
NCT00849017,NCT00849017,f1,value_1,0.473,0.065,locf,hba1c
NCT00849017,NCT00849017,f1,arm_f_2_uaa10393,-0.264,0.141,locf,hba1c
NCT00849017,NCT00849017,f1,arm_f_2_uaa10394,-0.297,0.14,locf,hba1c
NCT00849056,NCT00849056,f1,(Intercept),4.78,0.48,locf,hba1c
NCT00849056,NCT00849056,f1,value_1,0.365,0.058,locf,hba1c
NCT00849056,NCT00849056,f1,arm_f_2_uaa10397,-0.67,0.101,locf,hba1c
NCT00976391,NCT00976391,f1,(Intercept),3.068,0.376,locf,hba1c
NCT00976391,NCT00976391,f1,value_1,0.545,0.044,locf,hba1c
NCT00976391,NCT00976391,f1,arm_f_2_uaa10467,-0.142,0.079,locf,hba1c
NCT01098539,NCT01098539,f1,(Intercept),3.202,0.464,locf,hba1c
NCT01098539,NCT01098539,f1,value_1,0.554,0.056,locf,hba1c
NCT01098539,NCT01098539,f1,arm_f_2_uaa10566,-0.368,0.094,locf,hba1c
NCT01128894,NCT01128894,f1,(Intercept),2.964,0.317,locf,hba1c
NCT01128894,NCT01128894,f1,value_1,0.516,0.038,locf,hba1c
NCT01128894,NCT01128894,f1,arm_f_2_uaa10601,0.179,0.065,locf,hba1c
NCT01733758,NCT01733758,f1,(Intercept),3.865,0.272,locf,hba1c
NCT01733758,NCT01733758,f1,value_1,0.54,0.032,locf,hba1c
NCT01733758,NCT01733758,f1,arm_f_2_uaa10899,-1.237,0.079,locf,hba1c
NCT01733758,NCT01733758,f1,arm_f_2_uaa10900,-1.43,0.08,locf,hba1c
NCT01733758,NCT01733758,f1,arm_f_2_uaa10901,-1.366,0.086,locf,hba1c
NCT02229227,NCT02229227,f1,(Intercept),3.326,0.348,locf,hba1c
NCT02229227,NCT02229227,f1,value_1,0.426,0.045,locf,hba1c
NCT02229227,NCT02229227,f1,arm_f_2_uaa11080,0.059,0.055,locf,hba1c
NCT02465515,NCT02465515,f1,(Intercept),3.019,0.073,locf,hba1c
NCT02465515,NCT02465515,f1,value_1,0.63,0.008,locf,hba1c
NCT02465515,NCT02465515,f1,arm_f_2_uaa11138,-0.202,0.026,locf,hba1c
NCT00838903,NCT00838903,f2,(Intercept),5.235,0.786,locf,hba1c
NCT00838903,NCT00838903,f2,value_1,0.479,0.045,locf,hba1c
NCT00838903,NCT00838903,f2,age10,-0.205,0.116,locf,hba1c
NCT00838903,NCT00838903,f2,arm_f_2_uaa10381,-0.516,0.758,locf,hba1c
NCT00838903,NCT00838903,f2,arm_f_2_uaa10382,0.36,0.758,locf,hba1c
NCT00838903,NCT00838903,f2,arm_f_2_uaa10384,-0.234,0.761,locf,hba1c
NCT00838903,NCT00838903,f2,age10:arm_f_2_uaa10381,-0.018,0.134,locf,hba1c
NCT00838903,NCT00838903,f2,age10:arm_f_2_uaa10382,-0.132,0.134,locf,hba1c
NCT00838903,NCT00838903,f2,age10:arm_f_2_uaa10384,-0.019,0.135,locf,hba1c
NCT00838916,NCT00838916,f2,(Intercept),3.919,0.529,locf,hba1c
NCT00838916,NCT00838916,f2,value_1,0.42,0.041,locf,hba1c
NCT00838916,NCT00838916,f2,age10,0.009,0.066,locf,hba1c
NCT00838916,NCT00838916,f2,arm_f_2_uaa10386,1.138,0.457,locf,hba1c
NCT00838916,NCT00838916,f2,age10:arm_f_2_uaa10386,-0.189,0.082,locf,hba1c
NCT00839527,NCT00839527,f2,(Intercept),5.494,0.672,locf,hba1c
NCT00839527,NCT00839527,f2,value_1,0.547,0.045,locf,hba1c
NCT00839527,NCT00839527,f2,age10,-0.325,0.095,locf,hba1c
NCT00839527,NCT00839527,f2,arm_f_2_uaa10389,-1.296,0.639,locf,hba1c
NCT00839527,NCT00839527,f2,arm_f_2_uaa10390,-2.024,0.641,locf,hba1c
NCT00839527,NCT00839527,f2,age10:arm_f_2_uaa10389,0.116,0.114,locf,hba1c
NCT00839527,NCT00839527,f2,age10:arm_f_2_uaa10390,0.227,0.113,locf,hba1c
NCT00849017,NCT00849017,f2,(Intercept),4.388,0.754,locf,hba1c
NCT00849017,NCT00849017,f2,value_1,0.435,0.066,locf,hba1c
NCT00849017,NCT00849017,f2,age10,-0.075,0.087,locf,hba1c
NCT00849017,NCT00849017,f2,arm_f_2_uaa10393,-0.461,0.655,locf,hba1c
NCT00849017,NCT00849017,f2,arm_f_2_uaa10394,0.158,0.688,locf,hba1c
NCT00849017,NCT00849017,f2,age10:arm_f_2_uaa10393,0.04,0.122,locf,hba1c
NCT00849017,NCT00849017,f2,age10:arm_f_2_uaa10394,-0.081,0.126,locf,hba1c
NCT00849056,NCT00849056,f2,(Intercept),5.625,0.659,locf,hba1c
NCT00849056,NCT00849056,f2,value_1,0.35,0.059,locf,hba1c
