nct_id,arm_id_unq,sex,participants,mean,sd,Number of quantiles,epsilon,Age (years) at quantiles (%)
NCT01890122,uaa10957,male,98,55,9.7,8,0.07,"0=33, 22=48, 56=58, 65=60, 72=60, 85=66, 91=66, 100=75"
NCT01890122,uaa10958,female,68,53.3,9.9,5,0.08,"0=21, 1=35, 16=45, 94=65, 100=75"
NCT01890122,uaa10960,male,95,51,10.9,5,0.05,"0=28, 19=42, 87=63, 98=68, 100=74"
NCT01890122,uaa10960,female,68,53.9,8.9,5,0.08,"0=32, 4=40, 33=52, 91=64, 100=72"
NCT00286442,uaa10057,female,112,55.1,10.2,7,0.060000000000000005,"0=30, 14=45, 23=49, 49=54, 73=63, 88=66, 100=79"
NCT00286442,uaa10059,male,50,56,9.9,5,0.08,"0=33, 6=42, 35=54, 84=65, 100=75"
NCT00286442,uaa10058,female,96,52.9,9.8,5,0.11999999999999998,"0=23, 18=44, 52=56, 81=60, 100=72"
NCT00286442,uaa10058,male,114,54.2,11,5,0.07,"0=22, 4=37, 46=55, 80=62, 100=77"
NCT00286442,uaa10057,male,101,55.3,11,5,0.060000000000000005,"0=26, 11=43, 32=51, 84=65, 100=80"
NCT00286442,uaa10059,female,54,56.1,11.3,5,0.07,"0=27, 15=45, 53=59, 81=64, 100=78"
NCT00306384,uaa10088,male,697,55.8,10.1,5,0.060000000000000005,"0=25, 11=44, 28=51, 83=65, 100=80"
NCT00306384,uaa10089,female,730,54.7,10.1,5,0.060000000000000005,"0=26, 11=42, 36=52, 86=65, 100=81"
NCT00306384,uaa10088,female,699,55.7,9.8,5,0.07,"0=22, 12=45, 35=53, 82=64, 100=81"
NCT00306384,uaa10089,male,669,55.5,10.3,9,0.05,"0=23, 3=37, 10=43, 29=50, 39=53, 43=53, 84=66, 97=73, 100=81"
NCT00286455,uaa10061,female,68,51.1,10.7,5,0.07,"0=31, 12=40, 69=55, 91=65, 100=75"
NCT00286455,uaa10062,male,77,54,9.1,5,0.08,"0=33, 22=48, 54=54, 97=67, 100=80"
NCT00286455,uaa10063,female,32,54.1,11.1,7,0.060000000000000005,"0=35, 19=46, 29=47, 52=56, 71=59, 94=67, 100=80"
NCT00286455,uaa10061,male,65,54.1,13.2,6,0.060000000000000005,"0=24, 14=42, 42=50, 53=57, 86=68, 100=77"
NCT00286455,uaa10062,female,54,54.4,11.6,7,0.07,"0=31, 17=44, 43=50, 53=57, 70=59, 77=62, 100=80"
NCT00286455,uaa10063,male,33,53.5,11.1,5,0.13999999999999999,"0=35, 22=46, 41=47, 69=56, 100=77"
NCT00286468,uaa10065,male,111,56.1,10.6,6,0.07,"0=26, 12=45, 45=56, 55=57, 79=64, 100=78"
NCT00286468,uaa10066,male,99,56.6,11.6,5,0.060000000000000005,"0=21, 11=44, 22=50, 64=60, 100=78"
NCT00286468,uaa10066,female,99,56.5,11.8,8,0.07,"0=23, 6=38, 21=49, 38=54, 44=54, 81=69, 94=71, 100=80"
NCT00286468,uaa10065,female,92,57,11.7,5,0.07,"0=30, 16=46, 32=53, 85=68, 100=80"
NCT00286468,uaa10067,male,51,57.8,10.5,7,0.07,"0=35, 18=48, 46=58, 68=62, 76=67, 90=69, 100=80"
NCT00286468,uaa10067,female,48,56.3,9.6,6,0.09,"0=32, 17=49, 53=55, 72=64, 87=66, 100=75"
NCT01778049,ipd00003,female,55,57.3,10.5,10,0.060000000000000005,"0=28, 9=48, 13=49, 19=49, 30=53, 37=53, 43=56, 61=58, 74=62, 100=79"
NCT01778049,ipd00003,male,71,56.1,8.8,7,0.060000000000000005,"0=34, 10=47, 59=57, 69=62, 74=62, 87=66, 100=73"
NCT01778049,ipd00001,female,59,56.6,10.4,7,0.07,"0=19, 10=48, 31=52, 40=56, 66=60, 95=69, 100=76"
NCT01778049,ipd00002,female,47,55.9,10.9,5,0.11999999999999998,"0=24, 7=42, 43=58, 85=64, 100=77"
NCT01778049,ipd00004,male,74,56.8,9.9,7,0.07,"0=38, 32=53, 42=54, 53=59, 66=60, 79=64, 100=79"
NCT01778049,ipd00001,male,55,56.1,9.2,6,0.10999999999999999,"0=36, 20=50, 57=57, 67=62, 81=63, 100=74"
NCT01778049,ipd00004,female,56,55.9,9.4,7,0.07,"0=35, 11=45, 42=55, 58=57, 62=60, 89=66, 100=75"
NCT01778049,ipd00002,male,65,56.3,10.6,6,0.08,"0=31, 25=50, 52=59, 77=62, 91=68, 100=87"
NCT02489968,uaa11147,male,85,58.3,9.4,5,0.10999999999999999,"0=40, 31=55, 46=56, 86=68, 100=82"
NCT02489968,uaa11148,male,87,57,10.6,11,0.05,"0=31, 6=44, 23=48, 28=51, 33=52, 37=52, 44=55, 52=56, 59=60, 86=67, 100=82"
NCT02489968,uaa11148,female,29,56.1,10.7,7,0.07,"0=28, 7=44, 11=45, 18=45, 32=53, 64=60, 100=72"
NCT02489968,uaa11146,male,79,57.6,9.4,5,0.09,"0=38, 9=47, 69=63, 86=65, 100=79"
NCT02489968,uaa11145,male,85,56.7,9.7,5,0.07,"0=32, 12=46, 65=63, 93=68, 100=78"
NCT02489968,uaa11146,female,37,60.2,8.7,12,0.05,"0=42, 22=55, 28=55, 31=57, 36=57, 42=59, 53=61, 58=61, 78=67, 83=67, 89=68, 100=83"
NCT02489968,uaa11145,female,23,54.7,11,6,0.10999999999999999,"0=30, 5=42, 18=48, 32=48, 68=56, 100=77"
NCT02489968,uaa11147,female,22,57.1,8.9,6,0.060000000000000005,"0=42, 29=53, 52=56, 57=61, 90=67, 100=72"
NCT01734785,uaa10907,male,61,56.2,9.9,6,0.09999999999999999,"0=30, 12=46, 38=55, 53=56, 77=62, 100=80"
NCT01734785,uaa10907,female,49,55.5,9.3,5,0.09999999999999999,"0=36, 23=50, 67=62, 88=64, 100=73"
NCT01734785,uaa10905,male,71,55.6,9.1,5,0.08,"0=26, 14=48, 61=60, 83=63, 100=72"
NCT01734785,uaa10904,male,66,54.9,9,5,0.09,"0=28, 11=46, 55=57, 80=60, 100=78"
NCT01734785,uaa10905,female,40,55,11.3,8,0.060000000000000005,"0=31, 28=51, 49=57, 56=57, 67=60, 74=60, 87=64, 100=84"
NCT01734785,uaa10904,female,46,53.4,10.1,6,0.07,"0=24, 7=41, 24=48, 51=52, 84=63, 100=73"
NCT01719003,uaa10885,male,109,50.3,10.2,6,0.08,"0=26, 12=40, 29=46, 60=51, 84=58, 100=79"
NCT01719003,uaa10887,male,103,52.4,11.2,5,0.05,"0=25, 4=36, 15=41, 89=65, 100=81"
NCT01719003,uaa10886,female,71,53.5,11.8,5,0.07,"0=25, 17=44, 43=52, 61=54, 100=78"
NCT01719003,uaa10889,female,83,52.2,9.8,5,0.08,"0=32, 15=44, 56=52, 88=62, 100=81"
NCT01719003,uaa10883,male,85,54.9,10.3,6,0.07,"0=28, 23=49, 30=49, 51=57, 73=61, 100=73"
NCT01719003,uaa10889,male,88,54.4,11.6,5,0.09,"0=30, 18=46, 26=46, 80=62, 100=87"
NCT01719003,uaa10888,male,95,53.7,9.9,5,0.08,"0=28, 18=46, 80=61, 95=67, 100=77"
NCT01719003,uaa10884,male,89,54.9,10.5,5,0.08,"0=32, 11=44, 76=60, 86=65, 100=87"
NCT01719003,uaa10883,female,83,51.7,11.3,5,0.10999999999999999,"0=18, 21=45, 41=53, 88=62, 100=74"
NCT01719003,uaa10886,male,101,51.6,10.9,5,0.07,"0=28, 21=44, 65=54, 90=66, 100=81"
NCT01719003,uaa10882,male,100,53.2,10.7,6,0.07,"0=24, 3=34, 19=45, 66=57, 96=68, 100=83"
NCT01719003,uaa10882,female,72,53.1,10.5,5,0.08,"0=19, 11=42, 30=49, 75=58, 100=78"
NCT01719003,uaa10885,female,61,51.8,11.3,5,0.08,"0=23, 17=43, 53=51, 88=63, 100=82"
NCT01719003,uaa10888,female,76,50,11.8,6,0.07,"0=22, 24=43, 36=48, 64=53, 89=63, 100=76"
NCT01719003,uaa10887,female,67,52.5,12.2,6,0.060000000000000005,"0=24, 14=41, 24=42, 61=58, 83=63, 100=79"
NCT01719003,uaa10884,female,82,52.4,10.8,8,0.08,"0=25, 7=39, 15=39, 19=43, 32=45, 48=54, 91=65, 100=74"
NCT01075282,uaa10535,male,145,56.4,9.6,5,0.08,"0=28, 9=44, 36=54, 83=65, 100=78"
NCT01075282,uaa10535,female,131,55.8,10,5,0.07,"0=27, 16=47, 69=60, 97=71, 100=87"
NCT01075282,uaa10533,female,141,55.9,9.5,5,0.05,"0=31, 14=46, 48=57, 91=67, 100=77"
NCT01075282,uaa10536,male,137,57.6,9.1,5,0.08,"0=32, 12=47, 32=55, 90=68, 100=79"
NCT01075282,uaa10536,female,136,56.4,9.6,5,0.060000000000000005,"0=33, 10=45, 40=55, 89=67, 100=78"
NCT01075282,uaa10533,male,139,57.2,8.9,7,0.060000000000000005,"0=30, 14=49, 28=53, 41=54, 47=57, 93=69, 100=77"
NCT01191268,uaa10666,male,148,59.5,9.2,9,0.05,"0=39, 22=53, 29=54, 38=57, 50=59, 55=62, 82=68, 94=73, 100=81"
NCT01191268,uaa10668,female,135,58.1,8.5,6,0.060000000000000005,"0=35, 10=48, 32=55, 48=57, 82=65, 100=79"
NCT01191268,uaa10669,female,131,59.5,9,5,0.09999999999999999,"0=36, 15=51, 36=59, 88=69, 100=81"
NCT01191268,uaa10668,male,160,59.5,10.3,5,0.060000000000000005,"0=28, 11=46, 47=61, 85=69, 100=80"
NCT01191268,uaa10666,female,145,59.1,8.8,5,0.060000000000000005,"0=37, 18=52, 72=64, 93=71, 100=83"
NCT01191268,uaa10669,male,165,60.2,9.1,6,0.07,"0=35, 9=49, 26=55, 53=60, 90=71, 100=84"
NCT01621178,uaa10825,female,86,64.6,8.8,10,0.060000000000000005,"0=42, 6=53, 19=55, 32=60, 41=61, 47=65, 55=67, 61=67, 93=76, 100=84"
NCT01621178,uaa10826,male,104,64.2,8.7,5,0.07,"0=42, 5=52, 26=59, 72=69, 100=80"
NCT01621178,uaa10827,male,93,65.4,8.2,5,0.08,"0=44, 5=55, 47=65, 60=66, 100=83"
NCT01621178,uaa10825,male,104,64.8,8.5,5,0.09999999999999999,"0=43, 22=60, 51=67, 72=69, 100=83"
NCT01621178,uaa10827,female,101,63.4,8.5,5,0.07,"0=29, 7=52, 33=61, 81=70, 100=80"
NCT01621178,uaa10826,female,89,65.4,9.1,5,0.11999999999999998,"0=39, 9=56, 42=66, 80=72, 100=84"
