trials,nct_id,models,outcome,row,col,r,nct_id2,outcome_method
48,NCT00915772,glm,ae_sae,(Intercept),arm_f_2_uaa10432,-0.76,,incident_event
48,NCT00915772,glm,ae_sae,age10,arm_f_2_uaa10432,0.746,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10431,arm_f_2_uaa10432,0.601,,incident_event
48,NCT00915772,glm,ae_sae,(Intercept),sex,-0.177,,incident_event
48,NCT00915772,glm,ae_sae,age10,sex,0.071,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10431,sex,0.14,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10432,sex,0.135,,incident_event
48,NCT00915772,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10431,0.764,,incident_event
48,NCT00915772,glm,ae_sae,age10,age10:arm_f_2_uaa10431,-0.778,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10431,age10:arm_f_2_uaa10431,-0.978,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10432,age10:arm_f_2_uaa10431,-0.58,,incident_event
48,NCT00915772,glm,ae_sae,sex,age10:arm_f_2_uaa10431,-0.055,,incident_event
48,NCT00915772,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10432,0.742,,incident_event
48,NCT00915772,glm,ae_sae,age10,age10:arm_f_2_uaa10432,-0.756,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10431,age10:arm_f_2_uaa10432,-0.587,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10432,age10:arm_f_2_uaa10432,-0.978,,incident_event
48,NCT00915772,glm,ae_sae,sex,age10:arm_f_2_uaa10432,-0.054,,incident_event
48,NCT00915772,glm,ae_sae,age10:arm_f_2_uaa10431,age10:arm_f_2_uaa10432,0.588,,incident_event
48,NCT00915772,glm,ae_sae,(Intercept),arm_f_2_uaa10431:sex,0.142,,incident_event
48,NCT00915772,glm,ae_sae,age10,arm_f_2_uaa10431:sex,-0.057,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10431,arm_f_2_uaa10431:sex,-0.181,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10432,arm_f_2_uaa10431:sex,-0.108,,incident_event
48,NCT00915772,glm,ae_sae,sex,arm_f_2_uaa10431:sex,-0.799,,incident_event
48,NCT00915772,glm,ae_sae,age10:arm_f_2_uaa10431,arm_f_2_uaa10431:sex,0.055,,incident_event
48,NCT00915772,glm,ae_sae,age10:arm_f_2_uaa10432,arm_f_2_uaa10431:sex,0.043,,incident_event
48,NCT00915772,glm,ae_sae,(Intercept),arm_f_2_uaa10432:sex,0.141,,incident_event
48,NCT00915772,glm,ae_sae,age10,arm_f_2_uaa10432:sex,-0.057,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10431,arm_f_2_uaa10432:sex,-0.112,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10432,arm_f_2_uaa10432:sex,-0.158,,incident_event
48,NCT00915772,glm,ae_sae,sex,arm_f_2_uaa10432:sex,-0.798,,incident_event
48,NCT00915772,glm,ae_sae,age10:arm_f_2_uaa10431,arm_f_2_uaa10432:sex,0.044,,incident_event
48,NCT00915772,glm,ae_sae,age10:arm_f_2_uaa10432,arm_f_2_uaa10432:sex,0.028,,incident_event
48,NCT00915772,glm,ae_sae,arm_f_2_uaa10431:sex,arm_f_2_uaa10432:sex,0.638,,incident_event
48,NCT01204294,glm,ae_sae,(Intercept),age10,-0.886,,incident_event
48,NCT01204294,glm,ae_sae,(Intercept),arm_f_2_uaa10681,-0.658,,incident_event
48,NCT01204294,glm,ae_sae,age10,arm_f_2_uaa10681,0.583,,incident_event
48,NCT01204294,glm,ae_sae,(Intercept),arm_f_2_uaa10682,-0.675,,incident_event
48,NCT01204294,glm,ae_sae,age10,arm_f_2_uaa10682,0.598,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10681,arm_f_2_uaa10682,0.444,,incident_event
48,NCT01204294,glm,ae_sae,(Intercept),arm_f_2_uaa10683,-0.582,,incident_event
48,NCT01204294,glm,ae_sae,age10,arm_f_2_uaa10683,0.515,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10681,arm_f_2_uaa10683,0.383,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10682,arm_f_2_uaa10683,0.393,,incident_event
48,NCT01204294,glm,ae_sae,(Intercept),arm_f_2_uaa10684,-0.762,,incident_event
48,NCT01204294,glm,ae_sae,age10,arm_f_2_uaa10684,0.675,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10681,arm_f_2_uaa10684,0.502,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10682,arm_f_2_uaa10684,0.514,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10683,arm_f_2_uaa10684,0.443,,incident_event
48,NCT01204294,glm,ae_sae,(Intercept),arm_f_2_uaa10685,-0.003,,incident_event
48,NCT01204294,glm,ae_sae,age10,arm_f_2_uaa10685,0.002,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10681,arm_f_2_uaa10685,0.002,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10682,arm_f_2_uaa10685,0.002,,incident_event
48,NCT01204294,glm,ae_sae,arm_f_2_uaa10683,arm_f_2_uaa10685,0.002,,incident_event
