trials,nct_id,models,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,outcome,outcome_method
48,NCT01368081,glmnb,478.8,1098,-355.4,724.8,759.9,459.3,1093,1099,ae_sae,incident_event
48,NCT01064687,glmnb,209.1,977,-246.8,519.6,583.2,192.7,966,978,ae_sae,incident_event
48,NCT02681094,glmnb,178.6,889,-124.8,269.6,317.5,167.3,881,890,ae_sae,incident_event
48,NCT02471404,glmnb,468.8,905,-393,806,854.1,457,897,906,ae_sae,incident_event
48,NCT00707993,glmnb,140.2,440,-142.1,298.1,326.8,132.6,435,441,ae_sae,incident_event
48,NCT00968708,glmnb,5112,5380,-5853,11720,11770,5048,5375,5381,ae_sae,incident_event
48,NCT00286429,glmnb,94.6,389,-97.3,214.6,254.3,77.9,381,390,ae_sae,incident_event
48,NCT00306384,glmnb,2282,2792,-1696,3405,3447,2249,2787,2793,ae_sae,incident_event
48,NCT00286468,glmnb,169.1,499,-101.7,223.3,265.5,157,491,500,ae_sae,incident_event
48,NCT01734785,glmnb,91.3,332,-124.7,269.4,307.5,85.9,324,333,ae_sae,incident_event
48,NCT01191268,glmnb,275.7,883,-376.6,773.3,821.1,262.8,875,884,ae_sae,incident_event
48,NCT01621178,glmnb,265.2,576,-386.7,793.4,836.9,256.8,568,577,ae_sae,incident_event
48,NCT00641043,glmnb,134.1,388,-149.2,312.3,340.1,127.1,383,389,ae_gi,incident_event
48,NCT00621140,glmnb,98,502,-125.7,265.4,295,94.4,497,503,ae_gi,incident_event
48,NCT00601250,glmnb,350.5,700,-313.9,641.7,673.6,342.6,695,701,ae_gi,incident_event
48,NCT00602472,glmnb,576.7,1057,-599.2,1212,1247,553,1052,1058,ae_gi,incident_event
48,NCT00622284,glmnb,821.5,1551,-1296,2606,2644,816.8,1546,1552,ae_gi,incident_event
48,NCT00654381,glmnb,266.7,560,-470.3,966.6,1023,251.9,549,561,ae_gi,incident_event
48,NCT00954447,glmnb,460.6,1255,-787.5,1589,1625,455.9,1250,1256,ae_gi,incident_event
48,NCT00798161,glmnb,345.2,790,-454.9,947.7,1037,330.4,773,791,ae_gi,incident_event
48,NCT01438814,glmnb,491,688,-800.6,1615,1647,489,683,689,ae_gi,incident_event
48,NCT01204294,glmnb,548,573,-493,1030,1126,523.4,553,574,ae_gi,incident_event
48,NCT01792518,glmnb,161.2,359,-130.3,274.5,301.7,150.6,354,360,ae_gi,incident_event
48,NCT01210001,glmnb,264.3,498,-202.8,425.6,467.7,250,490,499,ae_gi,incident_event
