nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT01809327,NCT01809327,f4,age10:arm_f_2_uaa10935,0.084,0.101,0.831,4.064e-01
NCT01809327,NCT01809327,f4,age10:arm_f_2_uaa10936,0.06,0.098,0.615,5.390e-01
NCT01809327,NCT01809327,f4,arm_f_2_uaa10933:sex,-0.115,0.198,-0.581,5.613e-01
NCT01809327,NCT01809327,f4,arm_f_2_uaa10934:sex,0.07,0.199,0.352,7.249e-01
NCT01809327,NCT01809327,f4,arm_f_2_uaa10935:sex,0.098,0.199,0.491,6.239e-01
NCT01809327,NCT01809327,f4,arm_f_2_uaa10936:sex,0.219,0.198,1.104,2.697e-01
NCT01989754,NCT01989754,f4,(Intercept),5.029,0.218,23.055,1.844e-112
NCT01989754,NCT01989754,f4,value_1,0.516,0.016,32.341,1.255e-210
NCT01989754,NCT01989754,f4,age10,-0.172,0.025,-6.797,1.181e-11
NCT01989754,NCT01989754,f4,arm_f_2_uaa10994,-1.513,0.227,-6.653,3.135e-11
NCT01989754,NCT01989754,f4,sex,-0.13,0.044,-2.979,2.901e-03
NCT01989754,NCT01989754,f4,age10:arm_f_2_uaa10994,0.162,0.036,4.553,5.391e-06
NCT01989754,NCT01989754,f4,arm_f_2_uaa10994:sex,0.017,0.062,0.28,7.796e-01
NCT02025907,NCT02025907,f4,(Intercept),4.372,0.989,4.42,1.630e-05
NCT02025907,NCT02025907,f4,value_1,0.586,0.086,6.803,1.213e-10
NCT02025907,NCT02025907,f4,age10,-0.145,0.102,-1.431,1.540e-01
NCT02025907,NCT02025907,f4,arm_f_2_uaa11013,-1.845,0.869,-2.123,3.497e-02
NCT02025907,NCT02025907,f4,sex,-0.16,0.202,-0.794,4.279e-01
NCT02025907,NCT02025907,f4,age10:arm_f_2_uaa11013,0.183,0.147,1.248,2.136e-01
NCT02025907,NCT02025907,f4,arm_f_2_uaa11013:sex,0.001,0.287,0.003,9.975e-01
NCT02065791,NCT02065791,f4,(Intercept),4.651,0.233,19.963,1.072e-84
NCT02065791,NCT02065791,f4,value_1,0.483,0.017,28.991,2.668e-168
NCT02065791,NCT02065791,f4,age10,-0.104,0.03,-3.472,5.223e-04
NCT02065791,NCT02065791,f4,arm_f_2_uaa11038,0.099,0.248,0.401,6.883e-01
NCT02065791,NCT02065791,f4,sex,-0.094,0.065,-1.443,1.491e-01
NCT02065791,NCT02065791,f4,age10:arm_f_2_uaa11038,-0.034,0.042,-0.805,4.209e-01
NCT02065791,NCT02065791,f4,arm_f_2_uaa11038:sex,-0.066,0.091,-0.73,4.654e-01
NCT00968812,NCT00968812,f5,(Intercept),3.089,0.328,9.426,1.685e-20
NCT00968812,NCT00968812,f5,value_1,0.493,0.042,11.833,7.258e-31
