nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT01106651,NCT01106651,f6,3.588e-01,3.514e-01,7.155e-01,4.799e+01,1.982e-61,8,-7.490e+02,1.518e+03,1.563e+03,3.512e+02,686,695
NCT01106677,NCT01106677,f6,3.394e-01,3.336e-01,7.250e-01,5.788e+01,1.546e-103,11,-1.367e+03,2.759e+03,2.826e+03,6.512e+02,1239,1251
NCT01106690,NCT01106690,f6,4.048e-01,3.903e-01,6.856e-01,2.789e+01,5.686e-33,8,-3.464e+02,7.129e+02,7.511e+02,1.542e+02,328,337
NCT01137812,NCT01137812,f6,2.557e-01,2.506e-01,8.697e-01,5.002e+01,1.423e-44,5,-9.360e+02,1.886e+03,1.918e+03,5.507e+02,728,734
NCT01381900,NCT01381900,f6,3.915e-01,3.840e-01,7.401e-01,5.243e+01,1.713e-65,8,-7.344e+02,1.489e+03,1.534e+03,3.571e+02,652,661
NCT01809327,NCT01809327,f6,2.187e-01,2.091e-01,1.051e+00,2.272e+01,7.076e-52,14,-1.683e+03,3.397e+03,3.478e+03,1.254e+03,1136,1151
NCT01989754,NCT01989754,f6,2.019e-01,2.012e-01,1.125e+00,2.851e+02,1.181e-272,5,-8.664e+03,1.734e+04,1.739e+04,7.127e+03,5635,5641
NCT02025907,NCT02025907,f6,2.922e-01,2.743e-01,9.973e-01,1.627e+01,2.007e-13,5,-2.844e+02,5.829e+02,6.061e+02,1.959e+02,197,203
NCT02065791,NCT02065791,f6,1.897e-01,1.887e-01,1.379e+00,1.924e+02,1.218e-184,5,-7.159e+03,1.433e+04,1.438e+04,7.812e+03,4110,4116
NCT00968812,NCT00968812,f7,1.996e-01,1.950e-01,7.159e-01,4.377e+01,6.226e-63,8,-1.528e+03,3.076e+03,3.129e+03,7.196e+02,1404,1413
NCT01032629,NCT01032629,f7,1.484e-01,1.467e-01,1.236e+00,9.034e+01,1.027e-138,8,-6.777e+03,1.357e+04,1.364e+04,6.341e+03,4149,4158
NCT01106625,NCT01106625,f7,3.402e-01,3.282e-01,8.071e-01,2.848e+01,9.280e-36,8,-5.388e+02,1.098e+03,1.139e+03,2.880e+02,442,451
NCT01081834,NCT01081834,f7,4.217e-01,4.135e-01,8.233e-01,5.123e+01,4.154e-62,8,-6.947e+02,1.409e+03,1.453e+03,3.810e+02,562,571
NCT01106651,NCT01106651,f7,3.538e-01,3.462e-01,7.183e-01,4.694e+01,2.837e-60,8,-7.517e+02,1.523e+03,1.569e+03,3.540e+02,686,695
NCT01106677,NCT01106677,f7,3.349e-01,3.290e-01,7.274e-01,5.673e+01,9.633e-102,11,-1.371e+03,2.768e+03,2.835e+03,6.556e+02,1239,1251
NCT01106690,NCT01106690,f7,3.998e-01,3.852e-01,6.885e-01,2.731e+01,2.178e-32,8,-3.478e+02,7.157e+02,7.539e+02,1.555e+02,328,337
NCT01137812,NCT01137812,f7,2.485e-01,2.434e-01,8.739e-01,4.815e+01,4.463e-43,5,-9.395e+02,1.893e+03,1.925e+03,5.560e+02,728,734
NCT01381900,NCT01381900,f7,3.937e-01,3.863e-01,7.387e-01,5.293e+01,5.082e-66,8,-7.332e+02,1.486e+03,1.531e+03,3.558e+02,652,661
NCT01809327,NCT01809327,f7,2.170e-01,2.074e-01,1.052e+00,2.249e+01,2.365e-51,14,-1.684e+03,3.400e+03,3.481e+03,1.257e+03,1136,1151
NCT01989754,NCT01989754,f7,1.979e-01,1.972e-01,1.127e+00,2.780e+02,1.624e-266,5,-8.678e+03,1.737e+04,1.742e+04,7.163e+03,5635,5641
NCT02025907,NCT02025907,f7,2.899e-01,2.719e-01,9.989e-01,1.609e+01,2.738e-13,5,-2.848e+02,5.836e+02,6.068e+02,1.966e+02,197,203
NCT02065791,NCT02065791,f7,1.848e-01,1.838e-01,1.383e+00,1.863e+02,2.633e-179,5,-7.171e+03,1.436e+04,1.440e+04,7.859e+03,4110,4116
NCT00968812,NCT00968812,f8,2.088e-01,2.026e-01,7.125e-01,3.362e+01,5.956e-64,11,-1.520e+03,3.066e+03,3.134e+03,7.113e+02,1401,1413
NCT01032629,NCT01032629,f8,1.556e-01,1.534e-01,1.231e+00,6.947e+01,1.877e-143,11,-6.759e+03,1.354e+04,1.363e+04,6.286e+03,4146,4158
