nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT00838903,NCT00838903,f8,1.825e-01,1.701e-01,1.160e+00,1.475e+01,1.367e-34,15,-1.570e+03,3.175e+03,3.258e+03,1.334e+03,991,1007
NCT00838916,NCT00838916,f8,1.486e-01,1.405e-01,1.001e+00,1.838e+01,1.265e-22,7,-1.054e+03,2.126e+03,2.168e+03,7.391e+02,737,745
NCT00839527,NCT00839527,f8,2.770e-01,2.647e-01,9.702e-01,2.260e+01,2.508e-39,11,-9.119e+02,1.850e+03,1.908e+03,6.109e+02,649,661
NCT00849017,NCT00849017,f8,1.863e-01,1.549e-01,9.855e-01,5.932e+00,1.070e-08,11,-4.110e+02,8.479e+02,8.959e+02,2.768e+02,285,297
NCT00849056,NCT00849056,f8,2.358e-01,2.175e-01,8.759e-01,1.291e+01,1.795e-14,7,-3.832e+02,7.843e+02,8.177e+02,2.248e+02,293,301
NCT00976391,NCT00976391,f8,2.217e-01,2.120e-01,9.394e-01,2.267e+01,4.499e-27,7,-7.624e+02,1.543e+03,1.582e+03,4.916e+02,557,565
NCT01098539,NCT01098539,f8,2.501e-01,2.392e-01,9.851e-01,2.297e+01,6.660e-27,7,-6.839e+02,1.386e+03,1.424e+03,4.677e+02,482,490
NCT01128894,NCT01128894,f8,2.136e-01,2.067e-01,9.182e-01,3.115e+01,2.717e-38,7,-1.078e+03,2.173e+03,2.215e+03,6.770e+02,803,811
NCT01733758,NCT01733758,f8,5.949e-01,5.820e-01,5.635e-01,4.640e+01,5.662e-83,15,-4.061e+02,8.462e+02,9.175e+02,1.505e+02,474,490
NCT02229227,NCT02229227,f8,1.241e-01,1.165e-01,7.745e-01,1.627e+01,4.130e-20,7,-9.407e+02,1.899e+03,1.942e+03,4.823e+02,804,812
NCT02465515,NCT02465515,f8,3.336e-01,3.330e-01,1.268e+00,6.317e+02,0.000e+00,7,-1.464e+04,2.930e+04,2.937e+04,1.420e+04,8835,8843
