nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT01733758,NCT01733758,f2,arm_f_2_uaa10900,-1.4,0.441,-3.172,1.608e-03
NCT01733758,NCT01733758,f2,arm_f_2_uaa10901,-2.163,0.48,-4.508,8.213e-06
NCT01733758,NCT01733758,f2,age10:arm_f_2_uaa10899,0.075,0.076,0.989,3.232e-01
NCT01733758,NCT01733758,f2,age10:arm_f_2_uaa10900,-0.004,0.076,-0.053,9.580e-01
NCT01733758,NCT01733758,f2,age10:arm_f_2_uaa10901,0.139,0.082,1.702,8.949e-02
NCT02229227,NCT02229227,f2,(Intercept),3.894,0.423,9.198,3.050e-19
NCT02229227,NCT02229227,f2,value_1,0.425,0.044,9.554,1.456e-20
NCT02229227,NCT02229227,f2,age10,-0.096,0.041,-2.375,1.780e-02
NCT02229227,NCT02229227,f2,arm_f_2_uaa11080,-0.592,0.341,-1.733,8.346e-02
NCT02229227,NCT02229227,f2,age10:arm_f_2_uaa11080,0.112,0.058,1.929,5.403e-02
NCT02465515,NCT02465515,f2,(Intercept),5.216,0.174,30.017,1.373e-188
NCT02465515,NCT02465515,f2,value_1,0.546,0.009,59.624,0.000e+00
NCT02465515,NCT02465515,f2,age10,-0.224,0.023,-9.939,3.719e-23
NCT02465515,NCT02465515,f2,arm_f_2_uaa11138,-0.458,0.203,-2.255,2.415e-02
NCT02465515,NCT02465515,f2,age10:arm_f_2_uaa11138,0.051,0.031,1.637,1.016e-01
NCT00838903,NCT00838903,f3,(Intercept),3.622,0.408,8.872,3.195e-18
NCT00838903,NCT00838903,f3,value_1,0.533,0.045,11.836,2.308e-30
NCT00838903,NCT00838903,f3,sex,0.041,0.233,0.175,8.610e-01
NCT00838903,NCT00838903,f3,arm_f_2_uaa10381,-0.62,0.188,-3.301,9.965e-04
NCT00838903,NCT00838903,f3,arm_f_2_uaa10382,-0.27,0.191,-1.415,1.574e-01
NCT00838903,NCT00838903,f3,arm_f_2_uaa10384,-0.334,0.189,-1.769,7.714e-02
NCT00838903,NCT00838903,f3,sex:arm_f_2_uaa10381,0.109,0.27,0.402,6.878e-01
NCT00838903,NCT00838903,f3,sex:arm_f_2_uaa10382,-0.101,0.269,-0.374,7.085e-01
NCT00838903,NCT00838903,f3,sex:arm_f_2_uaa10384,0.079,0.27,0.291,7.712e-01
NCT00838916,NCT00838916,f3,(Intercept),3.883,0.358,10.843,1.535e-25
NCT00838916,NCT00838916,f3,value_1,0.436,0.041,10.582,1.765e-24
NCT00838916,NCT00838916,f3,sex,-0.083,0.129,-0.642,5.211e-01
NCT00838916,NCT00838916,f3,arm_f_2_uaa10386,0.022,0.118,0.19,8.497e-01
NCT00838916,NCT00838916,f3,sex:arm_f_2_uaa10386,0.104,0.158,0.659,5.103e-01
NCT00839527,NCT00839527,f3,(Intercept),3.419,0.406,8.419,2.387e-16
NCT00839527,NCT00839527,f3,value_1,0.578,0.045,12.721,2.687e-33
NCT00839527,NCT00839527,f3,sex,0.013,0.189,0.071,9.431e-01
NCT00839527,NCT00839527,f3,arm_f_2_uaa10389,-0.649,0.17,-3.822,1.448e-04
NCT00839527,NCT00839527,f3,arm_f_2_uaa10390,-0.683,0.171,-3.993,7.256e-05
NCT00839527,NCT00839527,f3,sex:arm_f_2_uaa10389,0.044,0.224,0.197,8.436e-01
NCT00839527,NCT00839527,f3,sex:arm_f_2_uaa10390,-0.133,0.223,-0.598,5.498e-01
NCT00849017,NCT00849017,f3,(Intercept),3.771,0.535,7.055,1.238e-11
NCT00849017,NCT00849017,f3,value_1,0.458,0.065,7.062,1.193e-11
NCT00849017,NCT00849017,f3,sex,0.092,0.2,0.458,6.471e-01
NCT00849017,NCT00849017,f3,arm_f_2_uaa10393,-0.437,0.206,-2.122,3.467e-02
NCT00849017,NCT00849017,f3,arm_f_2_uaa10394,-0.179,0.213,-0.842,4.006e-01
NCT00849017,NCT00849017,f3,sex:arm_f_2_uaa10393,0.367,0.281,1.307,1.923e-01
NCT00849017,NCT00849017,f3,sex:arm_f_2_uaa10394,-0.204,0.282,-0.726,4.684e-01
NCT00849056,NCT00849056,f3,(Intercept),4.912,0.494,9.94,2.753e-20
NCT00849056,NCT00849056,f3,value_1,0.357,0.059,6.073,3.828e-09
NCT00849056,NCT00849056,f3,sex,-0.114,0.144,-0.79,4.300e-01
NCT00849056,NCT00849056,f3,arm_f_2_uaa10397,-0.637,0.159,-3.996,8.147e-05
NCT00849056,NCT00849056,f3,sex:arm_f_2_uaa10397,-0.05,0.206,-0.241,8.098e-01
NCT00976391,NCT00976391,f3,(Intercept),2.927,0.382,7.663,7.855e-14
NCT00976391,NCT00976391,f3,value_1,0.551,0.044,12.586,3.120e-32
NCT00976391,NCT00976391,f3,sex,0.184,0.111,1.653,9.891e-02
NCT00976391,NCT00976391,f3,arm_f_2_uaa10467,-0.125,0.108,-1.156,2.482e-01
NCT00976391,NCT00976391,f3,sex:arm_f_2_uaa10467,-0.027,0.158,-0.173,8.625e-01
NCT01098539,NCT01098539,f3,(Intercept),3.403,0.469,7.258,1.561e-12
NCT01098539,NCT01098539,f3,value_1,0.551,0.056,9.861,4.862e-21
NCT01098539,NCT01098539,f3,sex,-0.343,0.132,-2.603,9.524e-03
NCT01098539,NCT01098539,f3,arm_f_2_uaa10566,-0.662,0.137,-4.842,1.726e-06
NCT01098539,NCT01098539,f3,sex:arm_f_2_uaa10566,0.55,0.186,2.953,3.302e-03
NCT01128894,NCT01128894,f3,(Intercept),2.783,0.318,8.749,1.236e-17
NCT01128894,NCT01128894,f3,value_1,0.515,0.038,13.487,1.520e-37
NCT01128894,NCT01128894,f3,sex,0.357,0.091,3.907,1.010e-04
NCT01128894,NCT01128894,f3,arm_f_2_uaa10601,0.352,0.092,3.831,1.378e-04
NCT01128894,NCT01128894,f3,sex:arm_f_2_uaa10601,-0.318,0.13,-2.454,1.432e-02
NCT01733758,NCT01733758,f3,(Intercept),3.753,0.287,13.081,1.143e-33
NCT01733758,NCT01733758,f3,value_1,0.536,0.033,16.449,1.466e-48
NCT01733758,NCT01733758,f3,sex,0.208,0.139,1.49,1.369e-01
NCT01733758,NCT01733758,f3,arm_f_2_uaa10899,-1.139,0.15,-7.589,1.690e-13
NCT01733758,NCT01733758,f3,arm_f_2_uaa10900,-1.184,0.149,-7.945,1.388e-14
NCT01733758,NCT01733758,f3,arm_f_2_uaa10901,-1.274,0.167,-7.614,1.415e-13
NCT01733758,NCT01733758,f3,sex:arm_f_2_uaa10899,-0.154,0.177,-0.867,3.862e-01
NCT01733758,NCT01733758,f3,sex:arm_f_2_uaa10900,-0.346,0.177,-1.953,5.135e-02
NCT01733758,NCT01733758,f3,sex:arm_f_2_uaa10901,-0.147,0.196,-0.753,4.518e-01
NCT02229227,NCT02229227,f3,(Intercept),3.278,0.35,9.364,7.430e-20
NCT02229227,NCT02229227,f3,value_1,0.427,0.044,9.598,9.955e-21
NCT02229227,NCT02229227,f3,sex,0.082,0.077,1.068,2.857e-01
NCT02229227,NCT02229227,f3,arm_f_2_uaa11080,0.047,0.074,0.632,5.275e-01
NCT02229227,NCT02229227,f3,sex:arm_f_2_uaa11080,0.035,0.11,0.321,7.480e-01
NCT02465515,NCT02465515,f3,(Intercept),3.718,0.087,42.754,0.000e+00
NCT02465515,NCT02465515,f3,value_1,0.564,0.009,62.057,0.000e+00
